Model \ Num Sessions,Overall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Gemini-1.5-Flash,0.52,0.74,0.56,0.53,0.54,0.50,0.47,0.49,0.51,0.53,0.50,0.49,0.42,0.54,0.48,0.44,0.53,0.65,0.57,0.48,0.48
GPT-4.5,0.52,0.74,0.53,0.57,0.56,0.54,0.52,0.50,0.44,0.52,0.46,0.46,0.41,0.52,0.53,0.36,0.48,0.68,0.65,0.48,0.42
o1,0.50,0.68,0.56,0.54,0.49,0.54,0.45,0.48,0.46,0.48,0.45,0.46,0.41,0.53,0.39,0.36,0.44,0.66,0.58,0.47,0.44
Gemini-2.0-Flash,0.49,0.73,0.52,0.55,0.48,0.45,0.48,0.48,0.51,0.50,0.44,0.42,0.41,0.52,0.46,0.42,0.46,0.61,0.51,0.52,0.42
Gemini-2.0-Flash-Lite,0.48,0.76,0.45,0.52,0.50,0.42,0.48,0.44,0.40,0.46,0.35,0.38,0.40,0.44,0.47,0.44,0.56,0.63,0.53,0.50,0.40
GPT-4o,0.45,0.83,0.51,0.55,0.44,0.43,0.47,0.38,0.42,0.43,0.40,0.36,0.38,0.42,0.32,0.29,0.38,0.66,0.54,0.48,0.36
DeepSeek-R1-671B,0.45,0.84,0.56,0.51,0.49,0.50,0.47,0.50,0.45,0.41,0.28,0.35,0.28,0.43,0.30,0.38,0.46,0.61,0.50,0.44,0.37
Llama-4-Maverick,0.43,0.76,0.31,0.45,0.48,0.38,0.33,0.37,0.45,0.36,0.39,0.30,0.41,0.37,0.39,0.39,0.54,0.62,0.50,0.50,0.36
o3-mini,0.39,0.80,0.48,0.44,0.45,0.36,0.39,0.39,0.36,0.37,0.27,0.31,0.38,0.35,0.32,0.26,0.41,0.56,0.39,0.35,0.33
GPT-4o-mini,0.39,0.73,0.45,0.46,0.36,0.34,0.37,0.36,0.35,0.25,0.30,0.29,0.32,0.34,0.33,0.36,0.42,0.60,0.44,0.37,0.32
Llama-3.1-405B,0.31,0.40,0.30,0.32,0.27,0.25,0.24,0.32,0.25,0.34,0.30,0.30,0.37,0.29,0.28,0.34,0.33,0.42,0.36,0.27,0.31
Claude-3.5-Haiku,0.30,0.60,0.27,0.38,0.27,0.28,0.22,0.24,0.26,0.25,0.18,0.22,0.26,0.36,0.25,0.24,0.35,0.52,0.34,0.33,0.22
Claude-3.7-Sonnet,0.26,0.76,0.27,0.31,0.26,0.20,0.28,0.21,0.20,0.10,0.15,0.17,0.12,0.22,0.20,0.19,0.29,0.47,0.28,0.27,0.19
Average,0.42,0.72,0.45,0.47,0.43,0.40,0.40,0.40,0.39,0.39,0.34,0.35,0.35,0.41,0.36,0.34,0.43,0.59,0.48,0.42,0.36
Random Guess,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
